,Pernambuco - IDH
2003-1,0.6886847637485755
2003-2,0.6890092125706886
2003-3,0.6893336613928018
2003-4,0.689658110214915
2003-5,0.6899825590370282
2003-6,0.6903070078591413
2003-7,0.6906314566812546
2003-8,0.6909559055033677
2003-9,0.6912803543254809
2003-10,0.6916048031475941
2003-11,0.6919292519697072
2003-12,0.6922537007918205
2004-1,0.6925781496139336
2004-2,0.6928738562527887
2004-3,0.693169562891644
2004-4,0.6934652695304993
2004-5,0.6937609761693544
2004-6,0.6940566828082095
2004-7,0.6943523894470648
2004-8,0.69464809608592
2004-9,0.6949438027247752
2004-10,0.6952395093636303
2004-11,0.6955352160024856
2004-12,0.6958309226413408
2005-1,0.696126629280196
2005-2,0.6963943658334055
2005-3,0.696662102386615
2005-4,0.6969298389398245
2005-5,0.697197575493034
2005-6,0.6974653120462435
2005-7,0.6977330485994531
2005-8,0.6980007851526625
2005-9,0.6982685217058721
2005-10,0.6985362582590815
2005-11,0.698803994812291
2005-12,0.6990717313655005
2006-1,0.69933946791871
2006-2,0.6995800064838861
2006-3,0.6998205450490622
2006-4,0.7000610836142382
2006-5,0.7003016221794143
2006-6,0.7005421607445903
2006-7,0.7007826993097663
2006-8,0.7010232378749425
2006-9,0.7012637764401185
2006-10,0.7015043150052945
2006-11,0.7017448535704707
2006-12,0.7019853921356467
2007-1,0.7022259307008227
2007-2,0.7024400433755776
2007-3,0.7026541560503324
2007-4,0.7028682687250873
2007-5,0.7030823813998422
2007-6,0.703296494074597
2007-7,0.703510606749352
2007-8,0.7037247194241069
2007-9,0.7039388320988617
2007-10,0.7041529447736166
2007-11,0.7043670574483715
2007-12,0.7045811701231263
2008-1,0.7047952827978812
2008-2,0.7049837416798271
2008-3,0.705172200561773
2008-4,0.705360659443719
2008-5,0.7055491183256649
2008-6,0.7057375772076108
2008-7,0.7059260360895567
2008-8,0.7061144949715027
2008-9,0.7063029538534485
2008-10,0.7064914127353945
2008-11,0.7066798716173405
2008-12,0.7068683304992863
2009-1,0.7070567893812323
2009-2,0.7072203665679815
2009-3,0.7073839437547308
2009-4,0.70754752094148
2009-5,0.7077110981282293
2009-6,0.7078746753149785
2009-7,0.7080382525017277
2009-8,0.708201829688477
2009-9,0.7083654068752262
2009-10,0.7085289840619755
2009-11,0.7086925612487247
2009-12,0.708856138435474
2010-1,0.7090197156222232
2010-2,0.709159183211388
2010-3,0.7092986508005529
2010-4,0.7094381183897177
2010-5,0.7095775859788825
2010-6,0.7097170535680474
2010-7,0.7098565211572121
2010-8,0.7099959887463769
2010-9,0.7101354563355418
2010-10,0.7102749239247066
2010-11,0.7104143915138714
2010-12,0.7105538591030363
2011-1,0.7106933266922011
2011-2,0.7107688816788499
2011-3,0.7108444366654987
2011-4,0.7109199916521475
2011-5,0.7109955466387963
2011-6,0.7110711016254451
2011-7,0.7111466566120939
2011-8,0.7112222115987425
2011-9,0.7112977665853913
2011-10,0.7113733215720401
2011-11,0.7114488765586889
2011-12,0.7115244315453377
2012-1,0.7115999865319865
2012-2,0.7117638753273475
2012-3,0.7119277641227085
2012-4,0.7120916529180696
2012-5,0.7122555417134306
2012-6,0.7124194305087916
2012-7,0.7125833193041526
2012-8,0.7127472080995136
2012-9,0.7129110968948746
2012-10,0.7130749856902356
2012-11,0.7132388744855968
2012-12,0.7134027632809578
2013-1,0.7135666520763188
2013-2,0.7136400316046265
2013-3,0.7137134111329343
2013-4,0.7137867906612421
2013-5,0.7138601701895498
2013-6,0.7139335497178576
2013-7,0.7140069292461654
2013-8,0.7140803087744731
2013-9,0.7141536883027809
2013-10,0.7142270678310887
2013-11,0.7143004473593965
2013-12,0.7143738268877042
2014-1,0.714447206416012
2014-2,0.7144433675716787
2014-3,0.7144395287273455
2014-4,0.7144356898830122
2014-5,0.714431851038679
2014-6,0.7144280121943457
2014-7,0.7144241733500125
2014-8,0.7144203345056792
2014-9,0.7144164956613459
2014-10,0.7144126568170127
2014-11,0.7144088179726794
2014-12,0.7144049791283462
2015-1,0.7144011402840129
2015-2,0.7151102496944992
2015-3,0.7158193591049855
2015-4,0.7165284685154718
2015-5,0.717237577925958
2015-6,0.7179466873364443
2015-7,0.7186557967469306
2015-8,0.7193649061574169
2015-9,0.7200740155679032
2015-10,0.7207831249783894
2015-11,0.7214922343888757
2015-12,0.722201343799362
2016-1,0.7229104532098483
2016-2,0.7229021990674986
2016-3,0.722893944925149
2016-4,0.7228856907827994
2016-5,0.7228774366404497
2016-6,0.7228691824981001
2016-7,0.7228609283557504
2016-8,0.7228526742134008
2016-9,0.7228444200710512
2016-10,0.7228361659287015
2016-11,0.7228279117863519
2016-12,0.7228196576440022
2017-1,0.7228114035016526
2017-2,0.7228175504978773
2017-3,0.7228236974941019
2017-4,0.7228298444903265
2017-5,0.7228359914865512
2017-6,0.7228421384827759
2017-7,0.7228482854790005
2017-8,0.7228544324752251
2017-9,0.7228605794714498
2017-10,0.7228667264676745
2017-11,0.7228728734638991
2017-12,0.7228790204601236
2018-1,0.7228851674563483
2018-2,0.7227933884219268
2018-3,0.7227016093875052
2018-4,0.7226098303530835
2018-5,0.7225180513186619
2018-6,0.7224262722842403
2018-7,0.7223344932498187
2018-8,0.7222427142153971
2018-9,0.7221509351809755
2018-10,0.7220591561465539
2018-11,0.7219673771121322
2018-12,0.7218755980777106
2019-1,0.721783819043289
2019-2,0.7216458176724049
2019-3,0.7215078163015207
2019-4,0.7213698149306366
2019-5,0.7212318135597524
2019-6,0.7210938121888683
2019-7,0.7209558108179841
2019-8,0.7208178094470998
2019-9,0.7206798080762157
2019-10,0.7205418067053315
2019-11,0.7204038053344474
2019-12,0.7202658039635632
2020-1,0.7201278025926791
2020-2,0.7199848314001993
2020-3,0.7198418602077197
2020-4,0.7196988890152399
2020-5,0.7195559178227602
2020-6,0.7194129466302805
2020-7,0.7192699754378008
2020-8,0.719127004245321
2020-9,0.7189840330528414
2020-10,0.7188410618603617
2020-11,0.7186980906678819
2020-12,0.7185551194754023
2021-1,0.7184121482829225
2021-2,0.7184076948608235
2021-3,0.7184032414387244
2021-4,0.7183987880166254
2021-5,0.7183943345945263
2021-6,0.7183898811724272
2021-7,0.7183854277503281
2021-8,0.718380974328229
2021-9,0.7183765209061299
2021-10,0.7183720674840308
2021-11,0.7183676140619318
2021-12,0.7183631606398327
2022-1,0.7183587072177336
