Ano,Mato Grosso do Sul - PIB - Estadual,Mato Grosso do Sul - PIB - Construção Civil,Mato Grosso do Sul - PIB - Per Capita,Mato Grosso do Sul - PIB - Preços de Mercado
1985,0.004511548,1414593.79942813,9.8419435143,15315510.8738962
1986,0.013793448,2015942.43381358,9.845928734,15698122.317203
1987,0.040304152,1549484.35608548,10.3938752324,16963438.405592
1988,0.283873274,1583299.3544908,10.6191236552,17722945.711131
1989,3.979650229,1996024.05438752,10.7601421085,18899920.6100276
1990,110.8383314,1678433.3611938,10.6071735598,19005063.7962438
1991,596.0696087,1600085.14260065,10.9668241536,20027120.7621991
1992,6042.367324,1580131.93467374,11.0429775113,20432269.1403116
1993,136570.9227,1758513.09429295,11.7353447248,22060323.9852991
1994,3847512.684,2449429.87122385,11.9469484257,22807787.8231467
1995,6427630.907,2274613.27820216,12.3519414617,23939063.0600838
1996,7721995.845,2146845.09508603,12.4355813352,24460029.915929
1997,8711204.989,2342055.2658978,12.8131525579,25571246.9991832
1998,9272270.475,2501681.5510148,12.9803328071,26281721.1658161
1999,10172207.95,2088163.4854059,12.8476355712,26524162.0464475
2000,11320383.16,2492137.0471995,12.953411262,27166580.6295455
2001,13151446.2,2446142.64352533,13.5571329513,28879309.7128563
2002,14614659.9315592,1410315.70500235,12.9701146175,27764138.6330312
2003,19358857.1612912,1410606.32059983,14.8568401206,32234707.7276337
2004,20376784.7874553,1559347.55300303,14.1160288911,31488653.8794987
2005,20393418.6532211,1315244.77288099,12.9542345673,29334449.6421212
2006,22885651.8330868,1496107.60848482,13.4164660216,30830784.0047009
2007,25725815.1796173,1426863.95034931,13.6688694772,32560381.6108515
2008,30767999.703463,1533613.80902712,15.3247124504,35799447.7667686
2009,34151216.6898003,1925867.67472388,15.6864734549,37027889.2174365
2010,41496012.547582,2527682.2021484,16.6901272825,41496012.547582
2011,48345892.2620903,2889094.52187166,18.015060406,44633050.7734298
2012,54640580.9409942,2960918.12516167,18.6901977047,46732316.1839024
2013,61246741.8267048,2612224.62955381,18.8328695972,48725699.6899867
2014,70372618.058682,2843779.31716976,19.8165236917,51912495.0045164
2015,74316577.0318148,2933389.87244358,19.2233884602,50965720.3043927
2016,82667189.1354283,2836674.83179362,19.5523809438,52442750.9389856
2017,86440974.4682868,2423961.66383187,19.5021366178,52894808.5666788
2018,96183593.5360469,2319913.86590278,20.8076316383,56325489.6216116
2019,95140961.9468617,2367660.40740614,19.5410483381,53456768.2013134
2020,109897457.182978,2370086.58368935,20.6487567018,57994305.9149683
2021,,,,
2022,,,,