Ano,Paraíba - PIB - Estadual,Paraíba - PIB - Construção Civil,Paraíba - PIB - Per Capita,Paraíba - PIB - Preços de Mercado
1985,0.003413761,1111701.71331885,4.738928126,14055186.9287982
1986,0.009733083,1711007.23358785,5.0372178595,15141891.9972125
1987,0.029438225,1453312.88638596,4.9894154753,15195434.4701519
1988,0.201774503,1319505.80516996,5.0664715234,15626249.5967475
1989,2.963916327,1172069.26566728,5.0374107169,15999043.1204497
1990,97.62114576,1230707.75974854,5.1218901441,16456709.8612092
1991,509.8428547,1389385.82169551,5.1968029581,16885135.1665124
1992,4754.62722,1456211.28797344,5.0691862614,16513578.8634714
1993,106898.9397,1636430.16833179,4.8743989684,15995622.9298818
1994,2835824.428,2166374.02840143,5.4668042546,18069072.760445
1995,5182868.081,1834824.09330257,5.6459252883,18793518.1100411
1996,6434187.13,1975704.7072034,5.7548904202,19290571.0900914
1997,7205361.826,1998146.5643198,5.8903517058,19881698.2223301
1998,7646868.386,2037785.08443854,5.7130011292,19426409.0577988
1999,8397432.445,1813514.75760239,5.8164788276,19966977.197305
2000,9337554.266,1915640.09036946,6.0239753113,20840093.1889817
2001,10848553.1,1776632.02011293,6.0270502339,21012629.5839054
2002,11388219.885691,1250915.57382342,6.1903820085,21634722.7489702
2003,13220216.3007841,894449.697000593,6.2562385652,22013169.7342122
2004,14131289.4014654,1168141.47620771,6.1197373298,21837364.7008195
2005,15667481.3494471,686699.461391298,6.2673100648,22536532.5196047
2006,18677593.3303478,1072160.0812023,6.9446136824,25161828.4633288
2007,20570984.5081663,1010256.07743237,7.004533795,26036069.2565145
2008,24144971.8079393,1190034.14571768,7.5063686567,28093365.3600867
2009,27230573.2187781,1482514.44062379,7.8314261683,29524296.531823
2010,29853238.6735232,1861881.06160644,7.8165370223,29853238.6735232
2011,32985146.4538882,1881583.63275419,8.0320340439,30451971.151225
2012,37671983.4115131,2359876.7659689,8.4451326628,32219625.2262161
2013,40987580.0910436,2178808.847977,8.330284609,32608241.0095597
2014,46997294.7253033,2342179.02874756,8.7905654303,34668979.1421239
2015,50105439.8003075,2233780.6892565,8.6505958219,34361914.0248862
2016,52838190.1429112,1851944.41212806,8.3811527579,33519708.057231
2017,55675475.65268,1808373.83965483,8.465911278,34068838.8188836
2018,57209309.4907298,1663388.17523055,8.4836762108,33501996.0215151
2019,60277218.8476881,1723874.3717431,8.535897884,33867907.6795585
2020,62468031.9095923,1884215.63188441,8.269944521,32965186.3230919
2021,,,,
2022,,,,