Ano,Rio Grande do Sul - PIB - Estadual,Rio Grande do Sul - PIB - Construção Civil,Rio Grande do Sul - PIB - Per Capita,Rio Grande do Sul - PIB - Preços de Mercado
1985,0.037454841,6041430.63113043,15.1019909658,126761853.405752
1986,0.103710718,7276174.30076628,14.3790386099,122519920.033929
1987,0.321088658,8047664.10811088,17.3392000736,149913510.092654
1988,2.376082544,7499030.92166838,15.6852655972,137536831.743978
1989,34.82903391,11349326.9950934,13.9088831907,126004383.858157
1990,939.3634047,8578032.00467765,14.4414257507,132519764.925644
1991,4666.959019,7260865.99160676,15.5644085907,144605371.531108
1992,54964.96058,7045181.72200974,16.8112555044,157793167.588115
1993,1260808.219,7228040.9103355,17.1413962906,162687106.640482
1994,31129217.22,9934598.11619122,17.6683826562,169520322.161307
1995,49879354.7,8330080.43427193,18.215543091,176640547.730551
1996,58807374.76,7515516.05693647,17.9901487919,176293599.559276
1997,64991308.69,8591595.36418261,18.853986824,186679526.506509
1998,67673124.64,9312555.37816368,18.5081502285,185082113.053714
1999,74015781.63,8046945.42106661,18.5082220098,187678312.874506
2000,81814713.67,10762297.4819236,19.0884690727,195764848.730179
2001,92310147.15,9962746.65800502,19.2560846107,199719719.194602
2002,84497627.812337,8079084.86345121,15.4223370853,160524012.445748
2003,102454116.161545,6537666.87513217,16.2304188287,170597802.465534
2004,111661674.35109,7066581.03447218,16.0872654819,172553023.056483
2005,114409880.650858,6490233.7357744,15.1746401827,164570292.974572
2006,124766965.482911,6169816.6962284,15.3314349613,168081879.064694
2007,143489534.248442,6531375.29074183,16.7468108488,181610338.085392
2008,161120475.595122,6949232.16817573,17.2698613212,187468282.170299
2009,175141577.156876,8130601.59020373,17.3989479295,189894344.767774
2010,205802706.809358,10213216.7412423,18.6770189482,205802706.809358
2011,226373415.444985,11189747.9514767,19.4715297771,208988513.244039
2012,245487113.215189,13281627.1257094,19.4982054404,209957163.636938
2013,286665159.987001,11960716.1830118,20.4281250302,228060466.24701
2014,309927137.600299,11706778.3175648,20.3998892381,228627148.261321
2015,333417695.320207,10923218.6079303,20.3285726896,228655216.412218
2016,356024947.829225,10710477.7803222,20.0112974835,225856568.516997
2017,367103067.67015,9162315.70593622,19.8456989365,224637061.394733
2018,396533913.543719,8867611.25040924,20.7479940833,232211815.038427
2019,420148101.312252,9728421.64860837,21.0184087883,236068242.347762
2020,410001707.60539,8754918.50578391,19.2535861626,216363190.432483
2021,,,,
2022,,,,